Fonds ITIE - 4300;BoŒte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(L x l x h en cm)";Remarques;D‚chirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (1-3);Perte de souplesse (0-3);Perte de matiŠre (0-3);PoussiŠre depos‚ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due … l'encre (0-3);Mouillure (umidit…) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);;
;;;;;;Ms 4300/29/143/11;1632 23 mars;;1;17,5 x 17,7;ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/144;1630 12 7bre;;3;25,6 x 17,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/145;1630 nov.4;;1;24,4 x 15,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/146;1630 15 gbre;;1;25,5 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/147;1630 Dec.3;;1;25,4 x 19,6;Cachets de cire rouge, partie inf‚rieure s‚par‚e de l'ensemble (d‚chir‚);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/148;1630 13 xbre;;1;25,9 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/149;1630 13 xbre;;4;25,6 x 18,7;Lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/150;1630_27 D‚cembre;;17;30,5 x 20,5;Aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/151/1;1630;;2;30,9 x 19,7;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/151/2;1632;;2;33 x 22;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/152;Vers 1630;;12;30,7 x 22,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/29/153;vers 1630 ;;2;26,1 x 20;;;;;;;;;;;;;;;;;;;
;4300/30        1631-1632- 1633;;;1631;80;Ms 4300/30/1;1631 9 Janvier;;2;27,8 x 20,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/2/1;1631 20 fev;;2;25,4 x 19;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/2/2;1631 26 fevr;;2;29 x 23,2;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/2/3;1634 24 xbre;;1;17,7 x 21,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/3;1631 23 fev;;4;25,6 x 19,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/4;1631 1er Mars;;16;26 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/5;29 Mars 1631;;7;26,4 x 19,5;Feuillet 1 d‚tach‚ du reste de l'UM;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/6/1;1631 30 Mars;1;14;25,7 x 18,8;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/6/2;1629 11 avril;;8;25,5 x 18,3;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/6/3;XI avril 1629;;10;24,3 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/6/4;23 avril 1649;;6;33,7 x 22,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/6/5;7 mars 1672;;4;24,9 x 18;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/6/6;1673 25 fevr;;2;35,4 x 21,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/7;1631 4 avril;;2;24,6 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/8/1;1631 4 avril;;1;24,8 x 18,4;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/8/2;1631 14 Janv;;1;27,7 x 20;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/8/3;1631 12 mars;;1;25,3 x 18,3;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/8/4;1631 9 avril ;;4;26,5 x 19,7;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/9;1631 10 avril;;2;25,3 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/10;1631_avril;3;96;26,7 x 20,8 x 2;Attach‚ avec ficelles de parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/11;1631 vers avril;1;60;25,7 x 19,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/12;1631 13 mai;;1;14,7 x 20,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/13;1631 14 mai;;3;26,8 x 20,4;Feuillet 1 en parchemin, Attache en parchemin, cachets de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/14;1631 14 mai au 18 mai;;10;28,2 x 21,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/1;1631 16 mai;;4;25,5 x 17,8;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/2;1642 21 mai;;1;26 x 19,5;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/3;1643 27 Janv;;4;29,2 x 19;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/4;1643 27 Janv;;2;29,3 x 18,7;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/5;1651 26 fevr;;2;24,1 x 18,5;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/6;1653 14 7bre;;4;25,5 x 18,6;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/7;1661 2 7bre;;2;31,4 x 19,8;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/8;1686 12 7bre;;4;25,4 x 17,7;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/9;1666 12 7bre;;4;25,3 x 17,8;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/10;1666 12 7bre;;4;25,5 x 18;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/11;1666 12 7bre;;4;25,7 x 18,4;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/12;1666 12 7bre;;5;27 x 19,3;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/15/13;1676 14 Juin;;2;25,2 x 17,8;Ficelle rose (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/16;1631 24 mai;;2;27,5 x 20,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/17;1631 3 aout;;2;28,2 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/18/1;1631 5 aout;;2;24,4 x 18;Cordelette de parchemin (avant), aur‚oles, tƒches;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/18/2;1637 26 Janv;;1;24 x 18;Cordelette de parchemin (avant), aur‚oles, tƒches, d‚chirure;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/19/1;1631 6 9bre;;1;11,8 x 19,5;Clou (avant), aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/19/2;1631 8 Juillet;;1;26,4 x 19,5;Clou (avant), lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/19/3;1632 6 fevr;;1;25 x 18,8;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/19/4;1632 25 Juin;;1;16,5 x 20,4;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/20;1631 9 9bre;;1;25,7 x 18,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/21;1631 13 xbre;;1;27,8 x 20,5;Aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/1;1631_1633;;2;24,8 x 17,7;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/2;27 mars 1631;;2;28 x 20;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/3;sans date;;1;25,8 x 19,2;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/4;1631;;1;27,5 x 20;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/5;fevrier 1631;;1;24,8 x 18;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/6;13 ? 1631;;2;28,2 x 20,9;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/7;sans date;;2;24,5 x 18,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/8;sans date;;1;26,3 x 19,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/9;27 ? 1631;;4;27,8 x 21;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/10;sans date;;1;25 x 18,2;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/11;sans date;;8;28 x 20,5;Cordelette de parchemin (avant), attache de parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/12;sans date;;2;27,9 x 20,4;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/13;sans date;;1;12,8 x 20,5;Cordelette de parchemin (avant), d‚chirure;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/14;Decembre 1630;;2;28 x 20,6;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/15;sans date;;1;16,5 x 24;Cordelette de parchemin (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/16;sans date;;2;26 x 19,3;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/17;sans date;;2;28,2 x 20,7;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/18;sans date;;2;28 x 20,8;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/19;sans date;;2;27,8 x 20,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/20;23 novembre 1630;;6;28,2 x 20,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/21;sans date;;2;27,2 x 20,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/22;sans date;;1;16,8 x 20;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/23;sans date;;8;27,5 x 20,8;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/24;sans date;;2;26,2 x 19,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/25;sans date;;34;28,4 x 21,3 x 0,8;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/26;sans date;;2;25 x 18,2;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/27;sans date;;1;11 x 18;Cordelette de parchemin (avant), feuillet en parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/28;sans date;;1;16,5 x 19,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/29;sans date;;2;27,5 x 19,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/30;sans date;;2;26,1 x 19,5;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/31;sans date;;1;25,9 x 20;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/22/32;sans date;;42;27,5 x 21;Cordelette de parchemin (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/23;1631 ?;;1;27,6 x 20,4;D‚chirures;;;;;;;;;;;;;;;;;;
;;;;1632-1633;105;Ms 4300/30/24;1632 24 Janv;;2;32,5 x 20,3;Aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/25/1;1632 31 janv;;2;25,3 x 18,7;Lacune, ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/25/2;1636 31 xbre;;2;25,4 x 18,5;ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/26;1632 16 mars;;1;26,1 x 19,4;Tƒches, d‚chirure;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/27;1632 23 Mars;;4;26,4 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/28/1;1632 12 avril;;3;23,7 x 17,8;Lacunes, ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/28/2;1638 16 Mars;;2;23,7 x 17,8;Lacunes, ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/28/3;1636 19 mars;;2;25,7 x 18,3;Lacunes, ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/29;1632 30 avril;;2;29,9 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/30;1632 8 mai;;2;25,2 x 17,5;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/31;1632 16 mai;;2;26 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/32;1632 mai 17;;2;25,1 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/33;1632 mai 26;;2;31,1 x 21,3;Lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/34;1632 3 Juin;;1;15,9 x 20,3;Tƒches;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/35;1632 6 Juin;;3;18,8 x 17,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/1;1632 8 Juin;;1;26,2 x 19,2;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/2;1633 3 7bre;;1;13 x 17,3;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/3;1634 19 avril;;1;25,8 x 18,5;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/4;1635 24 Juillet;;1;25 x 18,4;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/5;1636 20 juin;;1;26,8 x 21,8;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/6;1638 8 juin;;1;23,5 x 14,9;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/7;1639 7 mai;;1;17,8 x 18,4;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/36/8;sans date;;1;24,7 x 18,2;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/37;1632 19 Juin;;2;25,1 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/38;1632 3 Juillet;;6;25,8 x 20,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/39;1632 8 Juillet;;2;30,4 x 20,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/40;1632 14 Juillet;;8;30,1 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/41;1632 30 Juillet;;1;25 x 18;Lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/42;7 Juillet 1632 ;;2;32,3 x 21,2;Aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/43;1632 aout 28;;2;25,4 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/44;1632 27 7bre;;1;26 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/45;1632 11 8bre;;4;30,8 x 21,1;Lacunes (copie du contrat de mariage);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/46;11 octobre 1632;;;;Contrat de mariage, Localisation chambre forte, NUM;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/47;1632 19 gbre;;1;6,5 x 18,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/48;1632 xbre 22;;2;26 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/49;vers 1632;;2;22,5 x 16,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/50;1632 ?;;4;26,4 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/51;1632;;4;25,8 x 17,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/52;vers 1632;;2;29 x 19,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/53;1632;;2;30,6 x 20,1;D‚chirures, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/54;1632;;2;30,8 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/55/1;1633 Janv 3;;1;26 x 19,1;Lacune, ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/55/2;1633 Janvier 4;;2;25,9 x 19,1;ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/56/1;1633 12 janv;;2;25,8 x 18,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/56/2;1633 15 fev;;1;25,5 x 19;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/56/3;1633 16 fev;;1;26 x 18,8;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/56/4;1635 8 fev;;1;25,9 x 18,7;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/56/5;1633 12 fev;;1;25 x 18,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/57;1633 janv.13;;2;25,3 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/58;1633 26 janv;;2;30,2 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/59;1633 Janvier;;2;19,2 x 26,3;Lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/60;1633 fevrier 16;;1;26,2 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/61/1;1633 fev;;1;7,8 x 17,2;Aur‚oles, ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/61/2;En f‚vrier 1633;;3;25,6 x 19,7;Aur‚oles, ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/62/1;1633 12 mars;;1;25,8 x 19;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/62/2;1633 13 mars;;1;26,1 x 19;Ficelle (avant), lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/62/3;1633 15 mai;;1;26,2 x 19,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/62/4;1633 16 mars;;1;16,1 x 19,2;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/63;1633 13 avril;;1;26,1 x 19;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/64;1633 24 avril;;1;29 x 21,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/65;1633 avril 29;;1;21,4 x 18,6;Cachets de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/66;1633 3 juin;;1;26,1 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/67/1;1633 13 juin;;1;25,8 x 18,9;Aur‚oles, ficele (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/67/2;1633 14 Juin;;1;25,9 x 18,7;Aur‚oles, ficele (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/68;1633 15 juin;;2;25,5 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/69;1633 20 juin;;1;24,7 x 18,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/70;1633 3 Juillet;;4;25,5 x 18,4;lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/71/1;1633 9 juillet;;2;29,8 x 19,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/71/2;1634 24 7bre;;2;25,6 x 17,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/72/1;1633 11 Juillet;;1;24,8 x 19,9;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/72/2;1634 16 fevrier;;3;26,3 x 19,2;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/73;1633 juillet 15;;1;26,3 x 19,2;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/74;1633 29 ao–t;;1;26,3 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/75/1;1633 4 7bre;;1;25,8 x 18,8;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/75/2;1633 5 7bre;;1;25,7 x 18,5;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/75/3;1633 19 7bre;;1;25,7 x 18,6;Clou (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/76;1633 22 7bre;;2;26 x 18,7;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/77;1633 22 7bre;;4;26,4 x 19,1;Aur‚oles;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/78/1;1633 10 8bre;;2;33,2 x 20,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/78/2;1649 29 Janv;;2;25,8 x 18,4;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/78/3;1651 26 fev;;1;27,1 x 20;Ficelle (avant), aspect cotonneux, lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/78/4;1651 7 ao–t;;1;15 x 20;Ficelle (avant), lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/78/5;1651 7 7bre;;4;16,8 x 18,1;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/78/6;1654 mars;;4;25,5 x 18,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/79;1633 19 8bre;;1;17,5 x 21,2;Parchemin;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/80;1633 15 9bre;;6;26,3 x 18,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/81;1633 20 9bre;;2;26 x 18,9;Aspect cotonneux, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/82;1633 20 9bre;;1;34,3 x 22,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/83;1633 29 9bre;;4;24,3 x 18,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/1;1633 2 xbre;;2;25,9 x 18,7;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/2;1633 5 xbre;;1;25,8 x 18,6;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/3;1633 7 xbre;;2;26,6 x 18,8;Ficelle (avant), cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/4;1633 15 xbre;;12;26 x 18,9;Ficelle (avant), aur‚oles sur les derniers feuillets;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/5;1633 16 xbre;;2;25,5 x 18,4;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/6;1633 17 xbre;;2;25,5 x 18,3;Ficelle (avant), cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/7;1633 29 xbre;;1;25,6 x 18,8;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/8;1633 30 xbre;;2;25,7 x 19,5;Ficelle (avant) cachet de cire rouge;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/84/9;1634 13 Janvier;;2;25,9 x 18,5;Ficelle (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/85;1633 15 xbre;;5;26,3 x 19,3;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/86;1633 29 xbre … 1639 10 avril;1;28;24,8 x 19,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/87;1633 26 xbre;;1;22,6 x 19,1;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/88;1633 31 xbre;;1;19,2 x 24,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/89;vers 1633;;1;30,7 x 19,9;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/90;vers 1633;;7;29,5 x 20,1;Lacune;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/30/91;1633;;4;25,9 x 19,3;;;;;;;;;;;;;;;;;;;
;4300/31 (1)       1634 … 1638;;;1634-35-36;81;Ms 4300/31/1;1634 9 Janv;;1;34 x 22,8;Plis et d‚chirures;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/2;1634 10 fevr;;2;30 x 20,5;Aur‚oles, lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/3;1634 25 fevr;;2;25,3 x 17,7;Lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/4;1634 mars 5;;12;24,3 x 18,3;Lacunes;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/5;1634 15 mars;;4;25 x 18,4;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/6;1634 13 mai;;2;25,3 x 20;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/7;1634 24 mai;;4;35,3 x 24,8;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/8/1;1634 25 mai;;1;26 x 19,8;Cordelette orange (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/8/2;1636 2 mars;;2;24,6 x 17,7;Cordelette orange (avant);;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/9/1;1634 29 Juin;;2;25,8 x 18,6;;;;;;;;;;;;;;;;;;;
;;;;;;Ms 4300/31/9/2;1634 11 9bre;;2;26,1 x 18,8;;;;;;;;;;;;;;;;;;;
